唯一編碼,來源系統,來源系統縮寫,文件原系統頁面URL,題名,檔案類型,書卷名,類目階層,原始時間記錄,西元年,起始時間,結束時間,相關人員,相關組織,關鍵詞,摘要/全文,,機場標籤,會議主席,提案議員,相關議員,機關,相關機關
AHTWH-238-315700001001,國史館臺灣文獻館典藏管理系統,AHTWH,,小港鄉民地徵用賠償請求案,件,,臺灣省行政長官公署/民政/土地綱土地金融目/土地金融總節,1946-03-18~1946-04-03,1946,1946-03-18,1946-04-03,,,,小港鄉民地徵用賠償請求案,,#VALUE!,,,,,
AHTWH-238-315800006010,國史館臺灣文獻館典藏管理系統,AHTWH,,臺南縣新豐區營口鄉請編入臺南縣催辦案,件,,臺灣省行政長官公署/民政/土地綱疆界目/疆界總節,1946-02-22~1946-02-23,1946,1946-02-22,1946-02-23,,,,臺南縣新豐區營口鄉請編入臺南縣催辦案,,#VALUE!,,,,,
AHTWH-238-003-2631,國史館臺灣文獻館典藏管理系統,AHTWH,,國有及會社之土地山林及飛機場劃歸縣市府使用,卷,,臺灣省行政長官公署/臺灣省行政長官公署/財政/債產綱官產目/租借節,1946-05-17~1946-06-27,1946,1946-05-17,1946-06-27,,,,國有及會社之土地山林及飛機場劃歸縣市府使用,,及飛機場,,,,,
AHTWH-238-326640006001,國史館臺灣文獻館典藏管理系統,AHTWH,,工礦處出租土地山林請示案,件,,臺灣省行政長官公署/財政/債產綱官產目/租借節,1946-05-17~1946-06-13,1946,1946-05-17,1946-06-13,,,,工礦處出租土地山林請示案,,#VALUE!,,,,,
AHTWH-238-326640006002,國史館臺灣文獻館典藏管理系統,AHTWH,,民政處陳祥達應領旅費通知案,件,,臺灣省行政長官公署/財政/債產綱官產目/租借節,1946-06-27~1946-06-30,1946,1946-06-27,1946-06-30,,,,民政處陳祥達應領旅費通知案,,#VALUE!,,,,,
AHTWH-238-347410003002,國史館臺灣文獻館典藏管理系統,AHTWH,,協志商會工款發給申請批復案,件,,臺灣省行政長官公署/經建/工業綱技術工業人員目/登記節,1946-08-21~1946-08-29,1946,1946-08-21,1946-08-29,,,,協志商會工款發給申請批復案,,#VALUE!,,,,,
AHTWH-238-326600019008,國史館臺灣文獻館典藏管理系統,AHTWH,,松山機場鐵路支線接收核准案,件,,臺灣省行政長官公署/財政/債產綱官產目/官產總節,1947-01-17~1947-01-21,1947,1947-01-17,1947-01-21,,,,松山機場鐵路支線接收核准案,,松山機場,,,,,
AHTWH-238-326600019016,國史館臺灣文獻館典藏管理系統,AHTWH,,松山機場鐵路支線派員接收案,件,,臺灣省行政長官公署/財政/債產綱官產目/官產總節,1947-01-25~1947-02-25,1947,1947-01-25,1947-02-25,,,,松山機場鐵路支線派員接收案,,松山機場,,,,,
AHTWH-238-326600020013,國史館臺灣文獻館典藏管理系統,AHTWH,,派員接管歸仁機場輾地機電告案,件,,臺灣省行政長官公署/財政/債產綱官產目/官產總節,1947-05-06~1947-05-09,1947,1947-05-06,1947-05-09,,,,派員接管歸仁機場輾地機電告案,,歸仁機場,,,,,
AHTWH-238-303234352015,國史館臺灣文獻館典藏管理系統,AHTWH,,高雄港務局工務組組員孫居佐請派任案,件,,臺灣省行政長官公署/總務類/人事綱任免目/經建人員任免節,1947-03-05~1947-03-31,1947,1947-03-05,1947-03-31,,,,高雄港務局工務組組員孫居佐請派任案,,#VALUE!,,,,,
AHTWH-238-301900034002,國史館臺灣文獻館典藏管理系統,AHTWH,,臺南市參議會決議案復電,件,,臺灣省行政長官公署/總務類/總綱會議目/會議總節,1946-06-14~1946-06-19,1946,1946-06-14,1946-06-19,,,,臺南市參議會決議案復電,,#VALUE!,,,,,
AHTWH-238-301100022004,國史館臺灣文獻館典藏管理系統,AHTWH,,各機關科長以上人員均應前往機場迎接案,件,,臺灣省行政長官公署/總務類/總綱總目/總務總節,1946-01-27~1946-01-28,1946,1946-01-27,1946-01-28,,,,各機關科長以上人員均應前往機場迎接案,,前往機場,,,,,
AHTWH-238-311200002014,國史館臺灣文獻館典藏管理系統,AHTWH,,機場臨時通行證檢發案,件,,臺灣省行政長官公署/民政/施政綱專署年度中心工作目/專署年度中心工作總節,1946-04-09~1946-04-30,1946,1946-04-09,1946-04-30,,,,機場臨時通行證檢發案,,#NUM!,,,,,
AHTWH-238-306830003004,國史館臺灣文獻館典藏管理系統,AHTWH,,臺灣省設置外僑護照查驗站,件,,臺灣省行政長官公署/總務類/外交綱交際情報檢查目/檢查節,1946-11-18~1946-11-30,1946,1946-11-18,1946-11-30,,,,臺灣省設置外僑護照查驗站,,#VALUE!,,,,,
AHTWH-238-306830003012,國史館臺灣文獻館典藏管理系統,AHTWH,,松山機場外人護照查驗站借用松山空軍房舍案（1）,件,,臺灣省行政長官公署/總務類/外交綱交際情報檢查目/檢查節,1947-04-05~1947-04-14,1947,1947-04-05,1947-04-14,,,,松山機場外人護照查驗站借用松山空軍房舍案（1）,,松山機場,,,,,
AHTWH-238-306830003015,國史館臺灣文獻館典藏管理系統,AHTWH,,松山機場外人護照查驗站借用松山空軍房舍案（2）,件,,臺灣省行政長官公署/總務類/外交綱交際情報檢查目/檢查節,1947-04-03~1947-04-30,1947,1947-04-03,1947-04-30,,,,松山機場外人護照查驗站借用松山空軍房舍案（2）,,松山機場,,,,,
AHTWH-238-306830003022,國史館臺灣文獻館典藏管理系統,AHTWH,,臺灣省外人護照查驗站設置情形呈報案,件,,臺灣省行政長官公署/總務類/外交綱交際情報檢查目/檢查節,1947-01-28~1947-04-28,1947,1947-01-28,1947-04-28,,,,臺灣省外人護照查驗站設置情形呈報案,,#VALUE!,,,,,
AHTWH-238-315200002007,國史館臺灣文獻館典藏管理系統,AHTWH,,電飭臺南縣政府派員實地調查營房營地案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-02-25~1947-02-27,1947,1947-02-25,1947-02-27,,,,電飭臺南縣政府派員實地調查營房營地案,,#VALUE!,,,,,
AHTWH-238-315200002017,國史館臺灣文獻館典藏管理系統,AHTWH,,電請轉飭嘉義空軍協助調查案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-01-30~1947-02-05,1947,1947-01-30,1947-02-05,,,,電請轉飭嘉義空軍協助調查案,,#VALUE!,,,,,
AHTWH-238-315200002018,國史館臺灣文獻館典藏管理系統,AHTWH,,嘉義市轄內飛機場要塞營房營地調查情形電報案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-01-25~1947-01-29,1947,1947-01-25,1947-01-29,,,,嘉義市轄內飛機場要塞營房營地調查情形電報案,,內飛機場,,,,,
AHTWH-238-315200002019,國史館臺灣文獻館典藏管理系統,AHTWH,,電請轉飭各縣市機場空軍協助調查案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-02-05~1947-02-10,1947,1947-02-05,1947-02-10,,,,電請轉飭各縣市機場空軍協助調查案,,縣市機場,,,,,
AHTWH-238-315200002021,國史館臺灣文獻館典藏管理系統,AHTWH,,經電令空軍地區司令部轉飭協助調查營地案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-02-19~1947-02-22,1947,1947-02-19,1947-02-22,,,,經電令空軍地區司令部轉飭協助調查營地案,,#VALUE!,,,,,
AHTWH-238-315200002025,國史館臺灣文獻館典藏管理系統,AHTWH,,嘉義市陸海空軍營地營房調查表電送案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-01-30~1947-04-25,1947,1947-01-30,1947-04-25,,,,嘉義市陸海空軍營地營房調查表電送案,,#VALUE!,,,,,
AHTWH-238-315200002027,國史館臺灣文獻館典藏管理系統,AHTWH,,電請轉飭各縣市駐地部隊協助調查營地營房案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-02-18~1947-02-24,1947,1947-02-18,1947-02-24,,,,電請轉飭各縣市駐地部隊協助調查營地營房案,,#VALUE!,,,,,
AHTWH-238-315200002028,國史館臺灣文獻館典藏管理系統,AHTWH,,高雄縣政府調查營地營房困難情形電報並請電飭逕行列報案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-02-11~1947-02-28,1947,1947-02-11,1947-02-28,,,,高雄縣政府調查營地營房困難情形電報並請電飭逕行列報案,,#VALUE!,,,,,
AHTWH-238-315200003014,國史館臺灣文獻館典藏管理系統,AHTWH,,臺中縣埔里境內並無其他營地營房成報案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-02-10~1947-02-18,1947,1947-02-10,1947-02-18,,,,臺中縣埔里境內並無其他營地營房成報案,,#VALUE!,,,,,
AHTWH-238-315200003021,國史館臺灣文獻館典藏管理系統,AHTWH,,臺中縣北斗境內營產調查情形呈報案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-02-20~1947-02-25,1947,1947-02-20,1947-02-25,,,,臺中縣北斗境內營產調查情形呈報案,,#VALUE!,,,,,
AHTWH-238-315200003031,國史館臺灣文獻館典藏管理系統,AHTWH,,電飭各縣市政府限期查填營房營地案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1946-12-23~1946-12-24,1946,1946-12-23,1946-12-24,,,,電飭各縣市政府限期查填營房營地案,,#VALUE!,,,,,
AHTWH-238-315200003035,國史館臺灣文獻館典藏管理系統,AHTWH,,臺南縣境內軍事營房營地調查表電送案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-05-13~1947-05-15,1947,1947-05-13,1947-05-15,,,,臺南縣境內軍事營房營地調查表電送案,,#VALUE!,,,,,
AHTWH-238-315200003036,國史館臺灣文獻館典藏管理系統,AHTWH,,臺南縣麻豆鎮飛機場空軍營房營地調查表補報案,件,,臺灣省行政長官公署/民政/土地綱土地陳報編查目/土地陳報編查總節,1947-06-07~1947-06-16,1947,1947-06-07,1947-06-16,,,,臺南縣麻豆鎮飛機場空軍營房營地調查表補報案,,鎮飛機場,,,,,
AHTWH-238-315520038003,國史館臺灣文獻館典藏管理系統,AHTWH,,前臺中州海軍飛機場用地存廢案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-07-09~1946-07-26,1946,1946-07-09,1946-07-26,,,,前臺中州海軍飛機場用地存廢案,,軍飛機場,,,,,
AHTWH-238-315520039026,國史館臺灣文獻館典藏管理系統,AHTWH,,臺北市公有荒地概況調查等呈報案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1948-03-01~1948-03-31,1948,1948-03-01,1948-03-31,,,,臺北市公有荒地概況調查等呈報案,,#VALUE!,,,,,
AHTWH-238-315520039027,國史館臺灣文獻館典藏管理系統,AHTWH,,澎湖縣公有荒地概況調查等呈報案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1948-02-01~1948-02-29,1948,1948-02-01,1948-02-29,,,,澎湖縣公有荒地概況調查等呈報案,,#VALUE!,,,,,
AHTWH-238-315520039028,國史館臺灣文獻館典藏管理系統,AHTWH,,花蓮縣公有荒地概況調查等呈報案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1948-03-10~1948-03-31,1948,1948-03-10,1948-03-31,,,,花蓮縣公有荒地概況調查等呈報案,,#VALUE!,,,,,
AHTWH-238-315520039029,國史館臺灣文獻館典藏管理系統,AHTWH,,嘉義市公有荒地概況調查等呈報案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1948-03-18~1948-03-19,1948,1948-03-18,1948-03-19,,,,嘉義市公有荒地概況調查等呈報案,,#VALUE!,,,,,
AHTWH-238-315520042003,國史館臺灣文獻館典藏管理系統,AHTWH,,新竹市日軍飛機場用地籌設合作農場案（1）,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-11-23~1946-12-20,1946,1946-11-23,1946-12-20,,,,新竹市日軍飛機場用地籌設合作農場案（1）,,軍飛機場,,,,,
AHTWH-238-315520042006,國史館臺灣文獻館典藏管理系統,AHTWH,,新竹市日軍飛機場用地籌設合作農場案（2）,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1947-01-04~1947-01-31,1947,1947-01-04,1947-01-31,,,,新竹市日軍飛機場用地籌設合作農場案（2）,,軍飛機場,,,,,
AHTWH-238-003-5361,國史館臺灣文獻館典藏管理系統,AHTWH,,調查郵電局接收飛機場情形,卷,,臺灣省行政長官公署/臺灣省行政長官公署/財政/債產綱公產目/收用節,1946-11-07~1947-04-04,1946,1946-11-07,1947-04-04,,,,調查郵電局接收飛機場情形,,收飛機場,,,,,
AHTWH-238-326720007001,國史館臺灣文獻館典藏管理系統,AHTWH,,郵電局接收永康歸仁2地機場情形催報案,件,,臺灣省行政長官公署/財政/債產綱公產目/收用節,1946-12-16~1946-12-18,1946,1946-12-16,1946-12-18,,,,郵電局接收永康歸仁2地機場情形催報案,,2地機場,,,,,
AHTWH-238-326720007002,國史館臺灣文獻館典藏管理系統,AHTWH,,郵電局接收永康歸仁2地機場情形飭查案,件,,臺灣省行政長官公署/財政/債產綱公產目/收用節,1946-11-26~1946-11-29,1946,1946-11-26,1946-11-29,,,,郵電局接收永康歸仁2地機場情形飭查案,,2地機場,,,,,
AHTWH-238-326720007003,國史館臺灣文獻館典藏管理系統,AHTWH,,郵電局接收永康歸仁2地機場並無越權電報案,件,,臺灣省行政長官公署/財政/債產綱公產目/收用節,1946-11-19~1946-11-21,1946,1946-11-19,1946-11-21,,,,郵電局接收永康歸仁2地機場並無越權電報案,,2地機場,,,,,
AHTWH-238-326720007004,國史館臺灣文獻館典藏管理系統,AHTWH,,郵電局接收淡水松山臺東3地機場土地情形飭查案,件,,臺灣省行政長官公署/財政/債產綱公產目/收用節,1946-12-17~1946-12-18,1946,1946-12-17,1946-12-18,,,,郵電局接收淡水松山臺東3地機場土地情形飭查案,,3地機場,,,,,
AHTWH-238-326720007005,國史館臺灣文獻館典藏管理系統,AHTWH,,機場土地糾紛處理辦法呈報鑒核案,件,,臺灣省行政長官公署/財政/債產綱公產目/收用節,1946-12-12~1946-12-14,1946,1946-12-12,1946-12-14,,,,機場土地糾紛處理辦法呈報鑒核案,,#NUM!,,,,,
AHTWH-238-326720007006,國史館臺灣文獻館典藏管理系統,AHTWH,,電請郵電局將郵電總局核示意見電報備查案,件,,臺灣省行政長官公署/財政/債產綱公產目/收用節,1946-11-22~1946-12-03,1946,1946-11-22,1946-12-03,,,,電請郵電局將郵電總局核示意見電報備查案,,#VALUE!,,,,,
AHTWH-238-326720007007,國史館臺灣文獻館典藏管理系統,AHTWH,,前遞信局收購充作機場土地經請撥歸郵電局經營郵航機場案,件,,臺灣省行政長官公署/財政/債產綱公產目/收用節,1946-11-07~1946-11-12,1946,1946-11-07,1946-11-12,,,,前遞信局收購充作機場土地經請撥歸郵電局經營郵航機場案,,充作機場,,,,,
AHTWH-238-326720007008,國史館臺灣文獻館典藏管理系統,AHTWH,,臺東機場土地情形電報案,件,,臺灣省行政長官公署/財政/債產綱公產目/收用節,1947-02-05~1947-02-12,1947,1947-02-05,1947-02-12,,,,臺東機場土地情形電報案,,臺東機場,,,,,
AHTWH-238-326720007009,國史館臺灣文獻館典藏管理系統,AHTWH,,處理永康歸仁2機場土地糾紛情形呈報案,件,,臺灣省行政長官公署/財政/債產綱公產目/收用節,1946-12-12~1946-12-18,1946,1946-12-12,1946-12-18,,,,處理永康歸仁2機場土地糾紛情形呈報案,,仁2機場,,,,,
AHTWH-238-326720007010,國史館臺灣文獻館典藏管理系統,AHTWH,,淡水及松山機場情形電報案,件,,臺灣省行政長官公署/財政/債產綱公產目/收用節,1947-03-27~1947-04-04,1947,1947-03-27,1947-04-04,,,,淡水及松山機場情形電報案,,松山機場,,,,,
AHTWH-238-315600002003,國史館臺灣文獻館典藏管理系統,AHTWH,,省參議會請審議出售公有耕地案,件,,臺灣省行政長官公署/民政/土地綱荒山荒地目/荒山荒地總節,1947-06-28~1947-07-21,1947,1947-06-28,1947-07-21,,,,省參議會請審議出售公有耕地案,,#VALUE!,,,,,
AHTWH-238-003-5377,國史館臺灣文獻館典藏管理系統,AHTWH,,彰化飛機場土地買收代金請求,卷,,臺灣省行政長官公署/臺灣省行政長官公署/民政/土地綱土地金融目/土地金融總節,1946-04-19~1946-05-29,1946,1946-04-19,1946-05-29,,,,彰化飛機場土地買收代金請求,,化飛機場,,,,,
AHTWH-238-315700021001,國史館臺灣文獻館典藏管理系統,AHTWH,,彰化飛機場土地買收代金請發案,件,,臺灣省行政長官公署/民政/土地綱土地金融目/土地金融總節,1946-04-19~1946-05-18,1946,1946-04-19,1946-05-18,,,,彰化飛機場土地買收代金請發案,,化飛機場,,,,,
AHTWH-238-315700021002,國史館臺灣文獻館典藏管理系統,AHTWH,,請求賠償地上物如何處理請示案,件,,臺灣省行政長官公署/民政/土地綱土地金融目/土地金融總節,1946-05-28~1946-05-29,1946,1946-05-28,1946-05-29,,,,請求賠償地上物如何處理請示案,,#VALUE!,,,,,
AHTWH-238-315700021003,國史館臺灣文獻館典藏管理系統,AHTWH,,陳意英土地及地上物因戰時毀去請求賠償案,件,,臺灣省行政長官公署/民政/土地綱土地金融目/土地金融總節,1946-05-20~1946-05-31,1946,1946-05-20,1946-05-31,,,,陳意英土地及地上物因戰時毀去請求賠償案,,#VALUE!,,,,,
AHTWH-238-315700021004,國史館臺灣文獻館典藏管理系統,AHTWH,,陳烏囪土地及地上物因戰時毀去請求賠償案,件,,臺灣省行政長官公署/民政/土地綱土地金融目/土地金融總節,1946-05-20~1946-05-31,1946,1946-05-20,1946-05-31,,,,陳烏囪土地及地上物因戰時毀去請求賠償案,,#VALUE!,,,,,
AHTWH-238-315700021005,國史館臺灣文獻館典藏管理系統,AHTWH,,陳鴨母家屋遭日軍強制借用請求補償案,件,,臺灣省行政長官公署/民政/土地綱土地金融目/土地金融總節,1946-05-20~1946-05-31,1946,1946-05-20,1946-05-31,,,,陳鴨母家屋遭日軍強制借用請求補償案,,#VALUE!,,,,,
AHTWH-238-315520034002,國史館臺灣文獻館典藏管理系統,AHTWH,,屏東市李開榮等遭日軍侵害房屋等事項陳報案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-05-11~1946-05-22,1946,1946-05-11,1946-05-22,,,,屏東市李開榮等遭日軍侵害房屋等事項陳報案,,#VALUE!,,,,,
AHTWH-238-315520034005,國史館臺灣文獻館典藏管理系統,AHTWH,,福興鄉飛機場代金補發電復案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-05-07~1946-05-28,1946,1946-05-07,1946-05-28,,,,福興鄉飛機場代金補發電復案,,鄉飛機場,,,,,
AHTWH-238-315520017004,國史館臺灣文獻館典藏管理系統,AHTWH,,臺中縣福興鄉公所代民申請賠償彰化機場及兵舍用地復原費,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-05-09~1946-06-19,1946,1946-05-09,1946-06-19,,,,臺中縣福興鄉公所代民申請賠償彰化機場及兵舍用地復原費,,彰化機場,,,,,
AHTWH-238-315520059001,國史館臺灣文獻館典藏管理系統,AHTWH,,國有及會社之山林與分機場等公有地出租原則函示案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-05-20~1946-05-24,1946,1946-05-20,1946-05-24,,,,國有及會社之山林與分機場等公有地出租原則函示案,,與分機場,,,,,
AHTWH-238-315520059002,國史館臺灣文獻館典藏管理系統,AHTWH,,國有及會社之山林與分機場等公有地可否由各縣市出租請示案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-05-17~1946-05-18,1946,1946-05-17,1946-05-18,,,,國有及會社之山林與分機場等公有地可否由各縣市出租請示案,,與分機場,,,,,
AHTWH-238-003-5530,國史館臺灣文獻館典藏管理系統,AHTWH,,調查各地飛機場,卷,,臺灣省行政長官公署/臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-08-23~1946-12-21,1946,1946-08-23,1946-12-21,,,,調查各地飛機場,,地飛機場,,,,,
AHTWH-238-315520061001,國史館臺灣文獻館典藏管理系統,AHTWH,,新竹市轄境內機場實況調查表電送案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-11-01~1946-11-05,1946,1946-11-01,1946-11-05,,,,新竹市轄境內機場實況調查表電送案,,境內機場,,,,,
AHTWH-238-315520061002,國史館臺灣文獻館典藏管理系統,AHTWH,,新竹縣機場實況調查表電送案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-11-06~1946-11-11,1946,1946-11-06,1946-11-11,,,,新竹縣機場實況調查表電送案,,竹縣機場,,,,,
AHTWH-238-315520061003,國史館臺灣文獻館典藏管理系統,AHTWH,,臺南市機場實況調查表呈送案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-08-23~1946-11-18,1946,1946-08-23,1946-11-18,,,,臺南市機場實況調查表呈送案,,南市機場,,,,,
AHTWH-238-315520061004,國史館臺灣文獻館典藏管理系統,AHTWH,,臺南市機場實況調查表業經呈送通報案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-11-04~1946-12-02,1946,1946-11-04,1946-12-02,,,,臺南市機場實況調查表業經呈送通報案,,南市機場,,,,,
AHTWH-238-315520061005,國史館臺灣文獻館典藏管理系統,AHTWH,,臺南市機場徵用地使用狀況及其他調查表呈報案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-11-04~1946-12-05,1946,1946-11-04,1946-12-05,,,,臺南市機場徵用地使用狀況及其他調查表呈報案,,南市機場,,,,,
AHTWH-238-315520061006,國史館臺灣文獻館典藏管理系統,AHTWH,,嘉義市機場實況調查表電送案,件,,臺灣省行政長官公署/民政/土地綱土地行政管理目/土地管理節,1946-12-05~1946-12-10,1946,1946-12-05,1946-12-10,,,,嘉義市機場實況調查表電送案,,義市機場,,,,,
